Nome da Empresa;Capital Social (EUR);Morada Completa;Concelho;Distrito;Telefone;NIF;Prioritario;Notas
Portimão Ativo - Sociedade Imobiliária, S.A.;16550000;;Maia;Porto;;;Sim;CAE 68100 provável (ex-Preof III) · sem telefone publicado
Capitoa - Sociedade Imobiliária, S.A.;7500000;Lugar do Casal Melão, 2330-106;Entroncamento;Santarém;;;Nao;CAE 68100 + 68200 confirmados · NIF inconsistente entre fontes · sem telefone
Investeforma - Compra e Venda de Propriedades, S.A.;6750000;Rotunda Dom Duarte 248, 2440-060;Batalha;Leiria;244766462;502537990;Nao;CAE 68100 confirmado (multi-atividade: hotel, construção) · telefone do registo
Valor N, S.A.;6750000;;Matosinhos;Porto;;;Sim;CAE 68100 provável · sem presença online
Casais Imobiliária, S.A.;5000000;Rua do Anjo 27, Mire de Tibães, 4700-565;Braga;Braga;253305490;505271915;Nao;CAE 68100 confirmado · telefone geral do Grupo Casais (casais.pt)
Investmor - Investimentos Imobiliários, Lda;3000000;;;Aveiro;;;Nao;CAE 68100 provável · sem telefone
Imocapital, S.A.;2844966;;;Porto;;;Sim;CAE 68100 confirmado · sem telefone publicado
Sibr - Imobiliária, S.A.;2500000;;;Braga;;;Nao;CAE 68100 provável · sem telefone
Rmjj - Imobiliária, S.A.;2375000;;;;;;Nao;CAE 68100 provável · localização e telefone não confirmados
Promolanhoso - Promoção Imobiliária, S.A.;1500000;;Póvoa de Lanhoso;Braga;;;Nao;CAE 68100 provável · sem presença online
Riosor - Sociedade de Gestão Imobiliária, S.A.;1500000;Rua de Xabregas 20, 1º Esc. 2, 1900-440;Lisboa;Lisboa;218680676;504024523;Sim;CAE 68100 confirmado · telefone do registo (fax 218682162)
Capital House - Empreendimentos Imobiliários, Lda;1200000;Rua Professor Simões Raposo, nº 18 A, 1600-662;Lisboa;Lisboa;;506371581;Sim;CAE 68100 provável · site capitalhouse.pt (contacto só por formulário)
Promendo Investimentos, S.A.;1001500;;;;;;Nao;CAE 68100 confirmado · localização e telefone não confirmados
Pereira 54 - Sociedade Imobiliária, S.A.;1000000;;;;;;Nao;CAE 68100 provável · localização e telefone não confirmados
Novopca II - Investimentos Imobiliários, S.A.;1000000;;;;;;Nao;CAE 68100 provável · localização e telefone não confirmados
Portas de Lisboa - Sociedade de Investimentos Imobiliários, S.A.;1000000;;;Lisboa;;;Sim;CAE 68100 provável · sem telefone
ReVentures - Property Developers, Lda;800000;Campo Grande 28, 3ºA, 1700-093;Lisboa;Lisboa;212402489;516390350;Sim;CAE 68100 provável (promoção/construção) · telefone do site reventures.pt · projetos ativos confirmados (~400M€)
Invesprédio - Investimentos Imobiliários, S.A.;751000;;;;;;Nao;CAE 68100 provável · localização e telefone não confirmados
Algarvelux, Construções e Empreendimentos, S.A.;749000;Sítio do Lavaginho, Castro Marim Golfe, Aptd. 70, 8950-122;Castro Marim;Faro;281510340;501830170;Nao;CAE incerto (fontes divergem: imobiliário vs gestão de golfe) · telefone do registo
Sociedade de Empreendimentos Imobiliários do Sul-Seis, Unipessoal, Lda;600000;;Albufeira;Faro;;;Nao;CAE 68100 provável · sem telefone
Rax Loures - Sociedade Imobiliária, Lda;600000;;;Lisboa;;;Sim;CAE 68100 confirmado · sem telefone
Sentido Capital, S.A.;600000;;Aveiro;Aveiro;;;Nao;CAE 68100 confirmado · sem telefone (não confundir com Imo Sentido, empresa diferente)
Criterium - Promoção Imobiliária, Lda;500000;2750-424;Cascais;Lisboa;214847790;502596171;Sim;CAE 68100 confirmado · telefone do registo · ativa desde 1991
Propiso - Empreendimentos Imobiliários, S.A.;500000;;;;;;Nao;CAE 68100 confirmado · localização e telefone não confirmados
Atacainveste - Investimentos Imobiliários, S.A.;500000;;;Aveiro;;;Nao;CAE 68100 provável · sem telefone
Valorinvest - Sociedade de Investimentos Imobiliários, S.A.;350000;;;;;;Nao;CAE 68100 confirmado · localização e telefone não confirmados
Arcada Prime - Mediação Imobiliária, Lda;322000;Avenida Europa 663, 3810-139 (sede Aveiro);Coimbra;Coimbra;239052583;;Nao;CAE 68100 provável (é mediadora AMI 3447) · telefone loja Coimbra (sede Aveiro: 234427528)
Imobiliária Rio Caima, S.A.;300000;;;;;;Nao;CAE 68100 provável · localização e telefone não confirmados
Nosso Capital, Lda;300000;;;Porto;;;Sim;CAE 68100 confirmado · sem telefone
